time,open,high,low,close,tick_volume,spread,real_volume,timestamp,EMA_short,EMA_long,RSI,ATR,MACD
1704446580,1.09308,1.0933,1.09306,1.09325,121,1,0,2024-01-05 09:23:00,1.092966789651238,1.0929000859539955,68.15111830655337,0.00015144792416479626,1.8086965477870614e-05
1704446640,1.09322,1.09327,1.09317,1.09325,198,1,0,2024-01-05 09:24:00,1.0929937620654058,1.0929138080734466,68.15111830655337,0.0001477730724387386,2.298615211351792e-05
1704446700,1.09325,1.09328,1.09311,1.09321,137,1,0,2024-01-05 09:25:00,1.0930143561544148,1.0929254234431154,64.97451981665967,0.00014936071012168608,2.1550509469946775e-05
1704446760,1.09323,1.09336,1.09321,1.09325,131,1,0,2024-01-05 09:26:00,1.0930367984254228,1.0929381519355421,66.64864344204078,0.00014940637368442955,2.1275872454839482e-05
1704446820,1.09324,1.09333,1.09317,1.0931899999999999,180,1,0,2024-01-05 09:27:00,1.093051389051573,1.0929480283302269,61.87148230508851,0.00015016306127839445,1.5313069802686615e-05
1704446880,1.0931899999999999,1.09334,1.0930900000000001,1.09317,290,1,0,2024-01-05 09:28:00,1.0930626853323755,1.0929567331015906,60.31945480388886,0.00015729427118707067,8.615420064522145e-06
1704446940,1.09317,1.09317,1.09303,1.09304,178,0,0,2024-01-05 09:29:00,1.0930605248245302,1.0929599984701557,51.30981585197381,0.00015605896610228196,-5.231295029122732e-06
1704447000,1.09303,1.0932,1.09303,1.09312,100,0,0,2024-01-05 09:30:00,1.093066189126956,1.0929662730399534,55.69542453057937,0.0001570547542378335,-9.419405520251858e-06
1704447060,1.09313,1.0931899999999999,1.09307,1.09308,83,0,0,2024-01-05 09:31:00,1.0930675044481983,1.0929707329207394,53.11913797650334,0.00015440798607798097,-1.4970793019852003e-05
1704447120,1.0930900000000001,1.0930900000000001,1.09302,1.09304,55,0,0,2024-01-05 09:32:00,1.0930648849769413,1.0929734492767889,50.59857464140737,0.0001483788442152691,-2.1051521765728563e-05
1704447180,1.09305,1.09318,1.09303,1.0930900000000001,67,0,0,2024-01-05 09:33:00,1.0930672768838994,1.0929780198933854,53.56470029643362,0.00014849464105704235,-2.1353699080911253e-05
